,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
First Name,Nickname,Last Name,FPPG,Played,Salary,Game,Team,Opponent,Injury Indicator,Injury Details,Tier,,,Roster Position,,,,,,,,,,,,,,,,
Brook,Brook Lopez,Lopez,25.2,5,5900,MIL@BKN,MIL,BKN,,,,,,C,,,,,,,,,,,,,,,,
Khris,Khris Middleton,Middleton,19.725000381469700,4,5900,MIL@BKN,MIL,BKN,,,,,,SG/SF,,,,,,,,,,,,,,,,
Herbert,Herbert Jones,Jones,27.166666666666700,6,5800,NO@DEN,NO,DEN,,,,,,SG/SF,,,,,,,,,,,,,,,,
Derrick,Derrick White,White,32.67499923706060,4,5800,BOS@MIN,BOS,MIN,GTD,Personal,,,,PG/SG,,,,,,,,,,,,,,,,
Walker,Walker Kessler,Kessler,20.514286586216500,7,5800,UTA@CHI,UTA,CHI,,,,,,C,,,,,,,,,,,,,,,,
De'Andre,De'Andre Hunter,Hunter,26.71666717529300,6,5800,ATL@OKC,ATL,OKC,,,,,,SF/PF,,,,,,,,,,,,,,,,
Markelle,Markelle Fultz,Fultz,25.875,4,5800,DAL@ORL,ORL,DAL,GTD,Knee,,,,PG,,,,,,,,,,,,,,,,
Cole,Cole Anthony,Anthony,26.383333841959600,6,5800,DAL@ORL,ORL,DAL,,,,,,PG/SG,,,,,,,,,,,,,,,,
Ivica,Ivica Zubac,Zubac,25.1,5,5700,LAC@NY,LAC,NY,,,,,,C,,,,,,,,,,,,,,,,
Cameron,Cameron Johnson,Johnson,26.5,1,5700,MIL@BKN,BKN,MIL,O,Calf,,,,SF/PF,,,,,,,,,,,,,,,,
Dillon,Dillon Brooks,Brooks,29.079998779296900,5,5700,SAC@HOU,HOU,SAC,,,,,,SG/SF,,,,,,,,,,,,,,,,
Tre,Tre Jones,Jones,25.01666768391930,6,5700,SA@IND,SA,IND,,,,,,PG,,,,,,,,,,,,,,,,
Dereck,Dereck Lively,Lively,24.8000005086263,6,5600,DAL@ORL,DAL,ORL,,,,,,C,,,,,,,,,,,,,,,,
Kyle,Kyle Anderson,Anderson,24.960000610351600,5,5600,BOS@MIN,MIN,BOS,,,,,,SF/PF,,,,,,,,,,,,,,,,
Luguentz,Luguentz Dort,Dort,24.933334350585900,6,5600,ATL@OKC,OKC,ATL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Isaiah,Isaiah Stewart,Stewart,22.728572300502200,7,5600,GS@DET,DET,GS,,,,,,PF/C,,,,,,,,,,,,,,,,
Immanuel,Immanuel Quickley,Quickley,24.833333333333300,6,5600,LAC@NY,NY,LAC,,,,,,PG/SG,,,,,,,,,,,,,,,,
Naz,Naz Reid,Reid,23.719999694824200,5,5500,BOS@MIN,MIN,BOS,,,,,,PF/C,,,,,,,,,,,,,,,,
Tim,Tim Hardaway,Hardaway,25.100001017252600,6,5500,DAL@ORL,DAL,ORL,,,,,,SG/SF,,,,,,,,,,,,,,,,
Malik,Malik Monk,Monk,26.73999938964840,5,5500,SAC@HOU,SAC,HOU,,,,,,PG/SG,,,,,,,,,,,,,,,,
Killian,Killian Hayes,Hayes,22.971429007394000,7,5400,GS@DET,DET,GS,,,,,,PG,,,,,,,,,,,,,,,,
Bobby,Bobby Portis,Portis,22.73999938964840,5,5400,MIL@BKN,MIL,BKN,,,,,,PF/C,,,,,,,,,,,,,,,,
Klay,Klay Thompson,Thompson,25.399998982747400,6,5400,GS@DET,GS,DET,,,,,,SG,,,,,,,,,,,,,,,,
